                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2386,                0.70356,                 1.1664,                0.93149,                0.88305,                0.93826,                0.65935,                 1.0815,                0.54637,                 1.0186,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.2379,                0.70535,                 1.1618,                0.93193,                0.88985,                0.94696,                 0.6812,                 1.0503,                0.51787,                 1.0081,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.2279,                0.70763,                 1.1618,                0.93818,                0.88125,                0.94541,                 0.6751,                 1.0816,                0.52349,                 1.0197,               0.001538,               0.001538,               0.001538
                     38,                 1.2178,                0.68359,                 1.1484,                0.92937,                0.89853,                0.94991,                0.66895,                 1.0851,                0.54067,                 1.0178,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.2064,                0.67915,                 1.1431,                0.93934,                0.89374,                 0.9516,                0.69103,                 1.0375,                0.50101,                  1.001,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.2085,                0.68338,                 1.1411,                0.93511,                0.90452,                0.95399,                0.70018,                 1.0285,                0.51467,                0.99538,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.1955,                0.66643,                 1.1398,                0.93427,                0.90332,                0.95176,                0.69764,                 1.0391,                0.50335,                 1.0007,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.1969,                0.67114,                 1.1449,                0.93719,                0.89973,                0.94996,                0.68227,                 1.0557,                0.51323,                 1.0098,               0.001472,               0.001472,               0.001472
                     43,                 1.1934,                0.66623,                 1.1392,                 0.9438,                0.89554,                0.94907,                 0.6902,                 1.0397,                0.50245,                 1.0002,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.1778,                0.65146,                 1.1257,                0.93426,                0.90602,                0.94943,                0.68129,                 1.0521,                 0.5145,                 1.0053,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.1729,                 0.6577,                 1.1235,                0.93906,                0.90393,                0.95216,                0.70071,                 1.0373,                0.49061,                0.99983,              0.0014324,              0.0014324,              0.0014324
