                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1552,                0.61488,                 1.4033,                 0.9516,                0.91215,                0.95524,                0.68232,                 1.1865,                0.49424,                 1.3105,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.1507,                0.61394,                 1.3928,                0.94619,                0.91043,                0.95615,                0.71032,                 1.0548,                0.45436,                 1.2381,              0.0015512,              0.0015512,              0.0015512
                     37,                  1.129,                0.61543,                 1.3819,                0.95296,                0.91563,                0.95202,                0.71835,                 1.0413,                0.45946,                 1.2299,               0.001538,               0.001538,               0.001538
                     38,                 1.1206,                  0.595,                 1.3661,                0.95198,                0.91379,                 0.9542,                0.70705,                 1.0664,                 0.4717,                 1.2407,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.1076,                0.58702,                 1.3598,                0.95753,                0.91786,                0.95873,                0.73451,                0.99461,                0.44996,                 1.2111,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.1148,                 0.5839,                  1.363,                0.95468,                0.92577,                0.95986,                 0.7463,                0.97932,                0.42149,                 1.1951,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.0982,                0.57647,                 1.3548,                0.95803,                0.93295,                0.96439,                  0.734,                 1.0778,                0.43903,                 1.2442,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.0915,                0.57319,                 1.3536,                0.95262,                0.92679,                0.95907,                0.71531,                 1.0566,                0.45839,                 1.2405,               0.001472,               0.001472,               0.001472
                     43,                 1.0856,                0.58079,                 1.3419,                0.96579,                0.91769,                0.96398,                0.73861,                 1.0012,                0.43022,                 1.2013,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.0707,                 0.5584,                 1.3308,                0.96232,                0.92488,                0.96784,                 0.7252,                 1.0551,                0.43589,                 1.2284,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.0754,                0.56213,                 1.3327,                0.96729,                0.91769,                0.95939,                0.73557,                 1.0035,                0.42941,                 1.2047,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.0577,                 0.5428,                 1.3196,                0.95473,                0.92697,                0.96365,                0.75721,                 0.9614,                0.42377,                 1.1814,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.0545,                0.54784,                 1.3208,                0.96706,                0.92637,                 0.9638,                0.74445,                 1.0039,                0.41464,                 1.2044,               0.001406,               0.001406,               0.001406
                     48,                 1.0549,                0.54371,                 1.3141,                0.96715,                0.92727,                0.96412,                0.76637,                0.94478,                0.41325,                 1.1686,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.0428,                0.53933,                 1.3056,                0.95692,                0.93714,                0.96459,                0.76581,                0.95561,                0.41163,                 1.1777,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.0407,                0.53611,                 1.3135,                0.96228,                0.93911,                 0.9687,                0.76335,                0.96566,                0.40992,                 1.1716,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.0313,                0.52243,                 1.2921,                0.96817,                0.92869,                0.96625,                0.74732,                 1.0362,                0.42279,                 1.2173,              0.0013532,              0.0013532,              0.0013532
                     52,                  1.021,                0.52734,                 1.2918,                0.96895,                0.93176,                0.96395,                 0.7592,                0.94155,                0.39677,                 1.1659,                0.00134,                0.00134,                0.00134
                     53,                 1.0209,                0.51644,                 1.2882,                0.96263,                0.93355,                 0.9636,                0.77304,                0.95057,                 0.4051,                 1.1701,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.0148,                0.51675,                 1.2882,                0.95887,                0.90006,                0.94562,                0.76177,                0.92238,                0.41688,                  1.158,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.0131,                0.51921,                 1.2913,                0.96892,                0.93325,                0.96856,                0.77571,                0.93581,                0.39604,                 1.1591,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.0056,                0.52087,                 1.2784,                0.96631,                0.93587,                0.96993,                0.78352,                0.89797,                0.38636,                 1.1387,              0.0012872,              0.0012872,              0.0012872
                     57,                0.99851,                0.51309,                 1.2758,                0.96562,                0.93505,                0.96705,                  0.772,                0.96749,                0.40313,                 1.1762,               0.001274,               0.001274,               0.001274
                     58,                 1.0017,                0.51549,                 1.2766,                0.96396,                0.93146,                0.96408,                0.76482,                0.94629,                0.40099,                 1.1627,              0.0012608,              0.0012608,              0.0012608
                     59,                0.97585,                0.49963,                   1.26,                0.97412,                0.92517,                0.96845,                0.78639,                0.89686,                0.38676,                 1.1379,              0.0012476,              0.0012476,              0.0012476
                     60,                0.98122,                0.49856,                 1.2609,                0.96905,                0.93415,                0.96812,                0.78861,                0.88685,                0.38144,                 1.1353,              0.0012344,              0.0012344,              0.0012344
                     61,                0.96436,                0.48574,                 1.2482,                0.97584,                0.93475,                0.96596,                0.79508,                0.86671,                0.37146,                 1.1216,              0.0012212,              0.0012212,              0.0012212
                     62,                0.95456,                0.48559,                 1.2469,                0.97361,                0.93146,                0.96766,                0.79564,                0.86824,                0.37155,                 1.1238,               0.001208,               0.001208,               0.001208
