                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1719,                0.65386,                 1.1646,                0.93646,                0.89548,                0.94804,                0.70281,                 1.0146,                0.49557,                 1.0144,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.1598,                0.65325,                 1.1603,                0.93393,                0.89823,                0.94773,                 0.6976,                 1.0477,                0.50061,                   1.02,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.1576,                0.65623,                 1.1605,                0.93221,                0.89315,                0.94524,                0.70009,                 1.0421,                0.49992,                  1.018,               0.001538,               0.001538,               0.001538
                     38,                 1.1491,                0.63544,                 1.1489,                0.93251,                0.90151,                0.94579,                0.69575,                 1.0245,                0.51053,                 1.0078,              0.0015248,              0.0015248,              0.0015248
                     39,                  1.129,                0.62787,                 1.1374,                0.94709,                0.90183,                0.95153,                0.71126,                 1.0096,                0.48122,                 1.0003,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.1359,                0.62802,                 1.1385,                0.94133,                0.89319,                0.95065,                0.71414,                0.98702,                0.48623,                0.99678,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.1251,                0.62151,                  1.135,                0.94144,                 0.8998,                 0.9482,                0.72223,                0.97587,                0.47305,                0.99591,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.1251,                0.62331,                 1.1393,                 0.9426,                0.88967,                0.94564,                0.70524,                 1.0055,                0.48585,                 1.0071,               0.001472,               0.001472,               0.001472
                     43,                 1.1294,                0.62072,                 1.1419,                0.95368,                0.89644,                0.95462,                0.72084,                0.97075,                 0.4743,                0.99418,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.1042,                0.60063,                 1.1248,                0.93805,                0.90751,                 0.9493,                0.71549,                 0.9998,                 0.4714,                 1.0022,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.0982,                0.60863,                 1.1227,                0.94545,                 0.9027,                0.95063,                0.72174,                0.98748,                0.48318,                 1.0013,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.0904,                0.59007,                 1.1168,                0.95494,                0.90718,                0.95397,                0.72832,                0.96609,                0.47937,                0.99213,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.0908,                0.59959,                 1.1168,                0.95599,                0.89943,                0.95351,                0.73644,                0.97121,                0.45556,                0.99335,               0.001406,               0.001406,               0.001406
                     48,                  1.085,                0.58036,                 1.1095,                0.95335,                0.90533,                0.95395,                0.73406,                0.96832,                 0.4501,                0.99035,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.0774,                0.58359,                 1.1034,                0.96167,                0.90854,                0.95832,                0.74036,                0.96232,                0.44812,                0.98421,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.0655,                0.57707,                 1.1049,                 0.9488,                0.92078,                0.95609,                0.75309,                0.90527,                0.43484,                0.96978,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.0647,                0.57729,                 1.0979,                0.95348,                0.91619,                0.95621,                0.73836,                0.96621,                0.45158,                0.98943,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.0595,                0.57366,                 1.0998,                0.96046,                 0.9117,                0.95695,                0.74138,                0.94524,                0.45445,                 0.9817,                0.00134,                0.00134,                0.00134
                     53,                 1.0532,                0.56464,                  1.093,                0.95776,                0.91618,                0.95849,                 0.7576,                0.93049,                0.43935,                0.97628,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.0586,                0.56505,                 1.0996,                0.94767,                0.91978,                0.95746,                0.75353,                0.91564,                0.44328,                0.97649,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.0537,                0.56586,                 1.0966,                0.95684,                0.91572,                0.96015,                0.74983,                  0.947,                0.44148,                0.97588,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.0558,                0.56836,                 1.1025,                0.95939,                0.91211,                0.95861,                  0.752,                0.94276,                0.44048,                0.97565,              0.0012872,              0.0012872,              0.0012872
                     57,                  1.047,                0.56484,                 1.0936,                 0.9562,                0.92158,                0.95945,                0.74718,                0.97107,                0.45229,                0.98309,               0.001274,               0.001274,               0.001274
                     58,                 1.0555,                0.56418,                 1.0996,                0.96395,                 0.9129,                 0.9601,                0.75962,                 0.9388,                0.42929,                0.97037,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.0257,                0.54537,                 1.0835,                0.95748,                0.92547,                 0.9582,                0.75471,                0.93204,                0.42679,                0.97447,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.0255,                0.54238,                 1.0858,                0.96197,                 0.9123,                0.95846,                0.76536,                0.90615,                0.42872,                0.96724,              0.0012344,              0.0012344,              0.0012344
