                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3115,                 6.2827,                  1.512,                0.42284,                0.35968,                0.31203,                0.09676,                 2.4811,                 2.0807,                 1.5731,             0.00066635,             0.00066635,             0.00066635
                      2,                 2.2694,                 2.7957,                 1.5104,                0.49315,                0.43414,                0.40053,                 0.1333,                 2.3703,                 2.1418,                 1.4838,              0.0013066,              0.0013066,              0.0013066
                      3,                 2.2336,                 2.6906,                 1.4773,                0.47065,                0.26117,                0.25198,                0.09413,                 2.1782,                 2.4925,                 1.4267,              0.0019205,              0.0019205,              0.0019205
                      4,                 2.1889,                 2.6208,                 1.4565,                0.57169,                0.47194,                0.43799,                 0.1351,                 2.5924,                 1.8968,                 1.5521,              0.0018812,              0.0018812,              0.0018812
