                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.152,                0.62106,                 1.3727,                0.95362,                 0.9123,                0.95647,                0.68674,                 1.1606,                0.48322,                  1.275,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.1384,                0.60742,                 1.3598,                0.94839,                0.89655,                 0.9501,                0.71413,                 1.0357,                0.47572,                 1.2081,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.1232,                0.61584,                 1.3524,                 0.9528,                 0.9123,                0.94756,                0.70362,                 1.0829,                0.47563,                 1.2359,               0.001538,               0.001538,               0.001538
                     38,                 1.1219,                0.59877,                 1.3413,                0.95709,                0.91461,                0.95587,                 0.7237,                 1.0176,                 0.4528,                 1.2059,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.1093,                0.58991,                 1.3389,                0.95019,                0.91709,                 0.9494,                0.71731,                0.99392,                0.47408,                 1.1959,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.1144,                0.59445,                 1.3384,                0.96298,                0.90661,                0.94934,                0.72474,                  1.013,                0.45421,                 1.1908,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.1039,                0.58524,                 1.3292,                0.96371,                0.92068,                0.95775,                 0.7315,                 1.0356,                0.44938,                 1.2055,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.0988,                0.58409,                 1.3343,                0.95155,                0.92289,                0.95494,                0.71572,                 1.0468,                0.44826,                 1.2182,               0.001472,               0.001472,               0.001472
                     43,                 1.0837,                0.58405,                 1.3187,                0.95684,                0.90991,                0.95667,                 0.7274,                 1.0586,                0.46283,                 1.2178,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.0671,                0.55229,                 1.3048,                0.96143,                0.92519,                0.96117,                0.72989,                  1.005,                0.43987,                 1.1899,              0.0014456,              0.0014456,              0.0014456
