                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0334,                0.52326,                 1.1848,                 0.6017,                0.61152,                0.54881,                0.18959,                 1.7595,                 1.0661,                  2.064,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0255,                0.52625,                 1.1825,                0.60829,                0.62761,                0.57741,                0.19551,                 1.8515,                0.99329,                 2.2401,               0.008317,               0.008317,               0.008317
                     37,                 1.0151,                0.50993,                 1.1711,                0.61766,                0.61882,                0.57955,                0.19541,                 1.8275,                0.99134,                 2.2391,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0152,                 0.5142,                 1.1778,                0.57109,                0.64189,                0.54129,                0.18177,                 1.8819,                0.97425,                 2.4087,               0.008218,               0.008218,               0.008218
                     39,                0.99489,                0.49476,                 1.1635,                0.62763,                0.64592,                 0.6127,                0.20517,                 1.8023,                  1.002,                 2.2459,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0084,                 0.5092,                 1.1761,                0.59331,                0.61186,                0.54697,                0.18712,                 1.8438,                 1.0125,                 2.3016,               0.008119,               0.008119,               0.008119
                     41,                 1.0016,                0.50795,                 1.1708,                0.60639,                0.63933,                0.59235,                0.20102,                 1.8067,                0.99028,                 2.2929,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0075,                0.51016,                 1.1682,                0.60963,                0.63702,                0.58978,                0.20379,                 1.8178,                0.98383,                 2.2539,                0.00802,                0.00802,                0.00802
                     43,                0.98656,                0.49254,                  1.161,                0.62573,                0.63055,                 0.5591,                0.19024,                 1.8301,                 0.9695,                 2.4087,              0.0079705,              0.0079705,              0.0079705
                     44,                0.98293,                0.48532,                 1.1592,                 0.5732,                0.59667,                0.54014,                0.19274,                 1.8367,                0.95134,                 2.3822,               0.007921,               0.007921,               0.007921
                     45,                0.98025,                0.48733,                 1.1611,                0.62427,                0.62651,                0.59655,                0.20637,                 1.8028,                0.99574,                 2.2512,              0.0078715,              0.0078715,              0.0078715
                     46,                0.97793,                0.49422,                 1.1541,                0.63973,                0.60747,                0.57197,                0.19443,                 1.7748,                  1.028,                 2.3157,               0.007822,               0.007822,               0.007822
                     47,                0.97882,                 0.4892,                 1.1624,                0.58372,                0.61626,                0.55541,                0.19492,                 1.7551,                 1.1098,                 2.1454,              0.0077725,              0.0077725,              0.0077725
                     48,                0.97398,                0.48803,                 1.1605,                0.63068,                0.60893,                0.55332,                0.18709,                 1.8635,                0.95082,                 2.3296,               0.007723,               0.007723,               0.007723
                     49,                0.96374,                0.48428,                 1.1383,                0.60381,                0.60659,                 0.5494,                 0.1836,                 1.7945,                 1.0404,                  2.295,              0.0076735,              0.0076735,              0.0076735
                     50,                0.95064,                0.47589,                 1.1319,                0.59495,                0.60381,                0.53283,                0.19146,                 1.7833,                 1.0787,                 2.2015,               0.007624,               0.007624,               0.007624
                     51,                0.95832,                0.47986,                 1.1424,                0.62333,                0.63566,                0.57688,                0.20473,                 1.7492,                 1.0624,                 2.1844,              0.0075745,              0.0075745,              0.0075745
                     52,                0.95218,                0.48014,                 1.1444,                 0.6404,                0.58275,                 0.5685,                0.19844,                 1.8102,                 1.0316,                 2.2939,               0.007525,               0.007525,               0.007525
                     53,                0.95549,                0.47243,                 1.1436,                0.61618,                0.59081,                0.54716,                0.18383,                  1.813,                 1.0416,                 2.2995,              0.0074755,              0.0074755,              0.0074755
                     54,                0.96116,                0.47597,                 1.1387,                0.55728,                0.58929,                0.50412,                0.17011,                 1.7933,                 1.1215,                 2.2082,               0.007426,               0.007426,               0.007426
                     55,                0.93283,                 0.4576,                 1.1237,                0.55673,                0.62944,                 0.5368,                0.19679,                 1.7527,                 1.1143,                 2.2448,              0.0073765,              0.0073765,              0.0073765
                     56,                0.94283,                0.46584,                 1.1288,                0.59949,                0.57054,                0.53661,                0.18968,                 1.7745,                 1.0403,                 2.1598,               0.007327,               0.007327,               0.007327
                     57,                0.94955,                0.46897,                 1.1311,                0.58426,                0.62085,                0.56534,                0.20291,                 1.7871,                 0.9819,                 2.2025,              0.0072775,              0.0072775,              0.0072775
                     58,                0.93405,                 0.4592,                 1.1342,                0.59481,                0.63658,                0.57079,                0.21241,                 1.7739,                 1.0006,                 2.1924,               0.007228,               0.007228,               0.007228
                     59,                0.92676,                0.45373,                   1.12,                0.58564,                 0.6324,                0.54232,                0.18704,                 1.8192,                 0.9649,                 2.3127,              0.0071785,              0.0071785,              0.0071785
                     60,                0.92634,                0.46307,                 1.1191,                0.63029,                0.57909,                0.56356,                0.20187,                 1.8245,                0.92569,                 2.3028,               0.007129,               0.007129,               0.007129
                     61,                0.92835,                0.46052,                 1.1274,                0.59538,                0.58757,                 0.5612,                0.20402,                  1.786,                0.99935,                  2.268,              0.0070795,              0.0070795,              0.0070795
                     62,                0.92223,                0.45503,                 1.1243,                0.61779,                0.64097,                0.58387,                0.20375,                 1.8023,                 0.9762,                 2.3247,                0.00703,                0.00703,                0.00703
                     63,                0.91694,                0.44895,                 1.1163,                0.58445,                0.63621,                0.55702,                0.18777,                 1.7988,                0.99167,                 2.4017,              0.0069805,              0.0069805,              0.0069805
                     64,                0.90925,                0.44966,                 1.1137,                0.61612,                0.62633,                0.57537,                0.19977,                 1.7559,                  1.045,                 2.2487,               0.006931,               0.006931,               0.006931
                     65,                0.91759,                0.45252,                 1.1221,                0.60051,                0.58751,                  0.556,                0.19516,                 1.7891,                 1.0088,                  2.304,              0.0068815,              0.0068815,              0.0068815
                     66,                0.90216,                0.44601,                 1.1074,                0.59142,                0.62212,                0.55539,                0.20652,                 1.7285,                 1.0697,                 2.1699,               0.006832,               0.006832,               0.006832
                     67,                0.89896,                0.44696,                 1.1089,                0.63791,                0.61962,                0.59819,                0.20838,                 1.7494,                 1.0057,                 2.1854,              0.0067825,              0.0067825,              0.0067825
                     68,                0.91353,                0.44778,                 1.1138,                0.65006,                0.62783,                0.60374,                0.21102,                 1.8138,                  0.917,                 2.4593,               0.006733,               0.006733,               0.006733
                     69,                0.89553,                0.44597,                 1.1086,                0.59908,                0.64299,                0.56575,                0.20826,                 1.7821,                 1.0209,                 2.2922,              0.0066835,              0.0066835,              0.0066835
                     70,                0.88445,                 0.4345,                 1.1064,                 0.6026,                0.65324,                 0.5662,                0.20322,                 1.7624,                 1.0334,                 2.2951,               0.006634,               0.006634,               0.006634
                     71,                0.90253,                0.43723,                 1.1178,                0.63021,                0.65068,                 0.5966,                0.21267,                 1.7315,                 1.0205,                 2.2174,              0.0065845,              0.0065845,              0.0065845
                     72,                0.90969,                0.44731,                 1.1196,                0.62568,                0.63969,                0.58508,                0.20721,                 1.7864,                 1.0205,                 2.2312,               0.006535,               0.006535,               0.006535
                     73,                0.89314,                 0.4379,                 1.1149,                 0.6187,                0.60747,                0.56967,                0.20339,                 1.7928,                0.96384,                 2.3981,              0.0064855,              0.0064855,              0.0064855
                     74,                0.88243,                0.43107,                 1.1005,                0.57528,                0.63274,                0.56708,                0.21243,                 1.7698,                0.97329,                 2.2758,               0.006436,               0.006436,               0.006436
                     75,                0.88784,                0.43254,                 1.1063,                0.60716,                0.61113,                0.56791,                 0.1994,                 1.7914,                 1.0087,                 2.3389,              0.0063865,              0.0063865,              0.0063865
                     76,                0.87785,                 0.4255,                 1.0957,                0.63351,                0.60637,                0.58253,                  0.198,                 1.7866,                 1.0061,                 2.4278,               0.006337,               0.006337,               0.006337
                     77,                 0.8758,                0.43215,                 1.1051,                0.60904,                0.62803,                0.58998,                0.20735,                 1.7534,                0.99942,                 2.3211,              0.0062875,              0.0062875,              0.0062875
                     78,                  0.869,                0.42498,                 1.0932,                0.63695,                 0.5981,                0.59249,                0.20747,                 1.7606,                 1.0342,                 2.2741,               0.006238,               0.006238,               0.006238
                     79,                 0.8636,                0.42498,                 1.0961,                0.60164,                0.61523,                0.55325,                0.19487,                 1.7419,                 1.0139,                 2.3784,              0.0061885,              0.0061885,              0.0061885
                     80,                 0.8601,                0.42325,                 1.0909,                0.59561,                0.60344,                0.52513,                0.19299,                 1.7568,                0.99623,                 2.3991,               0.006139,               0.006139,               0.006139
                     81,                0.85052,                0.41978,                 1.0815,                0.59827,                0.64945,                0.58349,                0.20601,                 1.7432,                 1.0197,                 2.2957,              0.0060895,              0.0060895,              0.0060895
                     82,                0.85851,                0.42285,                  1.087,                 0.5693,                0.61498,                0.54474,                0.19529,                 1.7601,                 1.0448,                 2.3266,                0.00604,                0.00604,                0.00604
                     83,                0.86856,                0.41998,                 1.0907,                0.61261,                0.62943,                0.57726,                0.20357,                 1.7752,                0.96535,                 2.3493,              0.0059905,              0.0059905,              0.0059905
                     84,                0.85549,                0.41212,                 1.0759,                0.62203,                0.62816,                0.56227,                0.18567,                 1.8216,                 0.9789,                 2.3897,               0.005941,               0.005941,               0.005941
