                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3402,                0.79091,                 1.4941,                0.95407,                0.87083,                  0.948,                0.61684,                  1.307,                  0.598,                 1.4144,               0.007756,               0.007756,               0.007756
                     37,                 1.3353,                0.78108,                  1.481,                0.93432,                0.89695,                0.93864,                0.62529,                  1.268,                0.59036,                 1.3945,                0.00769,                0.00769,                0.00769
                     38,                 1.3505,                0.79899,                 1.4976,                0.93431,                0.90823,                0.95115,                0.63403,                  1.241,                0.57989,                 1.3699,               0.007624,               0.007624,               0.007624
                     39,                  1.333,                0.78615,                 1.4752,                0.94989,                0.90799,                0.94878,                0.62353,                 1.2902,                0.56253,                  1.418,               0.007558,               0.007558,               0.007558
                     40,                 1.3205,                0.77671,                 1.4698,                0.94433,                0.87954,                0.94394,                 0.6349,                 1.2526,                0.57686,                 1.3944,               0.007492,               0.007492,               0.007492
                     41,                 1.3291,                0.77737,                 1.4789,                0.95367,                0.89629,                0.94915,                0.62912,                 1.2793,                0.56765,                 1.3975,               0.007426,               0.007426,               0.007426
                     42,                 1.3254,                0.77178,                 1.4741,                0.95228,                0.88679,                0.95232,                0.63759,                  1.258,                0.58946,                 1.3763,                0.00736,                0.00736,                0.00736
                     43,                 1.3057,                 0.7551,                 1.4622,                0.95049,                0.90421,                 0.9486,                0.63686,                 1.2455,                0.56437,                 1.3821,               0.007294,               0.007294,               0.007294
                     44,                 1.3167,                0.75003,                 1.4528,                0.95823,                0.89115,                 0.9514,                0.63392,                 1.2695,                0.58393,                 1.3598,               0.007228,               0.007228,               0.007228
                     45,                 1.3008,                0.73557,                 1.4543,                0.94062,                0.90856,                0.95276,                0.64744,                 1.2365,                0.55096,                 1.3451,               0.007162,               0.007162,               0.007162
                     46,                  1.301,                0.75387,                 1.4362,                0.94128,                0.90732,                0.95632,                0.63984,                 1.2698,                0.56619,                 1.3665,               0.007096,               0.007096,               0.007096
                     47,                 1.2927,                0.71775,                 1.4335,                0.96505,                 0.8984,                0.96183,                0.64324,                 1.2494,                0.55573,                 1.3644,                0.00703,                0.00703,                0.00703
                     48,                 1.2892,                0.72904,                 1.4337,                 0.9592,                0.92121,                0.96139,                 0.6463,                 1.2428,                0.54514,                  1.362,               0.006964,               0.006964,               0.006964
                     49,                 1.2905,                0.72396,                 1.4356,                0.93937,                0.92598,                0.96476,                0.65632,                 1.2161,                 0.5314,                  1.342,               0.006898,               0.006898,               0.006898
                     50,                 1.2812,                0.73185,                 1.4404,                0.96213,                0.91437,                0.96265,                0.65003,                 1.2483,                0.53229,                  1.373,               0.006832,               0.006832,               0.006832
                     51,                   1.29,                0.72242,                 1.4519,                0.96596,                0.92308,                0.96672,                0.65339,                 1.2358,                 0.5227,                 1.3541,               0.006766,               0.006766,               0.006766
                     52,                 1.2796,                 0.7207,                 1.4245,                0.95197,                0.92017,                 0.9605,                0.65119,                 1.2392,                 0.5141,                 1.3474,                 0.0067,                 0.0067,                 0.0067
