                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9609,                 4.7516,                0.98605,                 0.5652,                0.47194,                0.48787,                0.21012,                 2.3001,                 1.8173,                 1.0296,              0.0033271,              0.0033271,              0.0033271
                      2,                  1.797,                 1.4519,                0.94492,                0.58835,                0.58446,                0.55331,                0.22942,                 2.2184,                  1.466,                0.99412,              0.0066164,              0.0066164,              0.0066164
                      3,                 1.8917,                 1.6554,                0.96124,                0.56181,                0.46506,                0.44114,                0.14816,                 2.4736,                 1.9478,                 1.0925,              0.0098618,              0.0098618,              0.0098618
                      4,                 2.0181,                 1.7933,                 1.0006,                0.61641,                0.46163,                0.43128,                0.13129,                 2.6147,                 1.7157,                 1.1535,               0.009802,               0.009802,               0.009802
